,Open,High,Low,Close,Volume,Dividends,Stock Splits,CurrentRatio,DebtToEquity,ROI,Sentiment
2023-05-01,180.66000366210938,185.24000549316406,179.7100067138672,183.3000030517578,3969800.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-02,181.3699951171875,183.1199951171875,176.3000030517578,176.88999938964844,6780100.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-03,177.00999450683594,180.5399932861328,176.35000610351562,177.66000366210938,3417100.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-04,178.6300048828125,180.6999969482422,177.08999633789062,179.00999450683594,2910300.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-05,179.24000549316406,184.72999572753906,179.13999938964844,183.92999267578125,3191800.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-08,188.0,192.1999969482422,187.92999267578125,191.52000427246094,3854300.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-09,192.63999938964844,197.05999755859375,192.38999938964844,195.83999633789062,3863800.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-10,197.1300048828125,201.52000427246094,197.0,199.39999389648438,2667000.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-11,200.5500030517578,200.83999633789062,196.57000732421875,197.17999267578125,3012900.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-12,198.64999389648438,199.3699951171875,196.82000732421875,199.3000030517578,3011400.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-15,198.3000030517578,198.5500030517578,190.6699981689453,193.0,6568000.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-16,190.27999877929688,192.8000030517578,188.86000061035156,191.42999267578125,4865300.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-17,192.30999755859375,193.1199951171875,190.10000610351562,191.52000427246094,3425700.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
2023-05-18,191.0,191.49000549316406,186.75,189.72000122070312,5244200.0,0.0,0.0,0.7422117298523353,10.498296007789678,0.007607353304399986,0
